接口编号,工具形式,管路安装阶段结果,螺母扳手或套筒方位_deg,反力扳手方位_deg,采用独立夹角,最少遮挡姿态中的零件
STK.AI,双套筒,找到无碰撞包络姿态,240,,否,
STK.AO,双套筒,找到无碰撞包络姿态,0,,否,
STK.HI,双开口扳手,找到无碰撞包络姿态,60,240,否,
STK.HO,双开口扳手,找到无碰撞包络姿态,45,225,否,
STK.CI,双开口扳手,未找到无碰撞包络姿态,30,210,否,空气接头固定半体（STK.AI） [UnionBody_STK_AI]；空气接头开口卡箍（STK.AI） [UnionClamp_STK_AI]
STK.CO,双开口扳手,未找到无碰撞包络姿态,90,270,否,空气接头管侧半体（STK.AO） [UnionTail_STK_AO]；空气接头开口卡箍（AIR_IN.PORT） [UnionClamp_AIR_IN_PORT]；卡箍紧固螺栓（AIR_IN.PORT） [UnionBolt_AIR_IN_PORT]；氢气管路035｜固态储氢模块（MH201）—XV/PCV/CV-201·床支路隔离比例止回 [Pipe035]
AF.I,双套筒,找到无碰撞包络姿态,105,,否,
AF.O,双套筒,找到无碰撞包络姿态,75,,否,
CP.I,双套筒,找到无碰撞包络姿态,300,,否,
CP.O,双套筒,找到无碰撞包络姿态,75,,否,
AH.I,双套筒,找到无碰撞包络姿态,0,,否,
AH.O,双套筒,找到无碰撞包络姿态,15,,否,
AH.F,双开口扳手,未找到无碰撞包络姿态,105,285,否,卡箍六角螺母（AH.O） [UnionClampNut_AH_O]；主冷却液管路019｜TK-301·独立主路膨胀罐—CR-301·主液回流汇集 [Pipe019]；储氢床冷却液管路033｜TK-401·独立次路膨胀罐—BR-401·床路回流阀组 [Pipe033]
AH.E,双开口扳手,未找到无碰撞包络姿态,120,300,否,主冷却液管路023｜HX-101·板翅空气调温器—CR-301·主液回流汇集 [Pipe023]；储氢床冷却液管路033｜TK-401·独立次路膨胀罐—BR-401·床路回流阀组 [Pipe033]
AV.I,双套筒,未找到无碰撞包络姿态,105,,否,独立次路膨胀罐（TK-401） [TKbed]
AV.O,双套筒,找到无碰撞包络姿态,75,,否,
BP.I,双套筒,未找到无碰撞包络姿态,15,,否,钛酸锂启动电池组（BAT-101，20串2并） [Battery]
BP.O,双套筒,找到无碰撞包络姿态,300,,否,
SEP.I,双开口扳手,未找到无碰撞包络姿态,0,180,否,伴热阳极分水器（SEP-201） [Separator]；活接可旋转螺母（SEP.O） [UnionNut_SEP_O]；活接固定端与反力六角（SEP.D） [UnionBody_SEP_D]
SEP.O,双开口扳手,未找到无碰撞包络姿态,255,75,否,分层安装托板_阴极背压阀（BPV-101） [Subtray_BackPressure]；氢气管路043｜固态储氢模块（MH203）—XV/PCV/CV-203·床支路隔离比例止回 [Pipe043]；氢气管路036｜XV/PCV/CV-201·床支路隔离比例止回—HM-201·六路止回合流 [Pipe036]
SEP.DRAIN,双开口扳手,未找到无碰撞包络姿态,270,90,否,氢气管路044｜XV/PCV/CV-203·床支路隔离比例止回—HM-201·六路止回合流 [Pipe044]
SEP.D,双开口扳手,找到无碰撞包络姿态,285,105,否,
SEP.C,双开口扳手,找到无碰撞包络姿态,0,180,否,
RC.I,双开口扳手,未找到无碰撞包络姿态,30,210,否,双级减压·切断·比例·止回（REG-205） [Reg205]；分层托板支柱_BackPressure [Standoff_BackPressure_0]
