线束名称,编号,外径_mm,弯曲半径_mm,长度_mm,起端直段_mm,末端直段_mm,中间结构线夹数
主干电源线束,Cable_Backbone,8.0,48.0,252.8,38.0,60.0,0
控制与传感线束 XV101,Cable_XV101,5.5,33.0,1449.84,35.05,63.06,1
控制与传感线束 BPV101,Cable_BPV101,3.5,21.0,1045.26,164.8,51.23,1
控制与传感线束 TE101,Cable_TE101,5.0,30.0,1100.06,114.6,95.44,0
控制与传感线束 PCV202,Cable_PCV202,5.5,33.0,1277.17,39.26,40.47,1
控制与传感线束 PCV203,Cable_PCV203,5.5,33.0,1242.45,27.19,90.38,0
控制与传感线束 PCV204,Cable_PCV204,5.5,33.0,1617.93,38.21,77.25,0
控制与传感线束 PCV206,Cable_PCV206,5.5,33.0,1639.29,135.03,81.86,0
控制与传感线束 TT201,Cable_TT201,5.0,30.0,2023.85,41.38,54.3,1
控制与传感线束 TT202,Cable_TT202,4.0,24.0,2228.19,33.68,70.48,2
控制与传感线束 TT203,Cable_TT203,5.0,30.0,1741.82,33.36,54.39,1
控制与传感线束 TT204,Cable_TT204,5.0,30.0,1712.69,33.18,174.2,1
控制与传感线束 H2LOW,Cable_H2LOW,5.0,30.0,1642.33,28.0,140.65,2
控制与传感线束 H2UP,Cable_H2UP,5.0,30.0,1372.13,41.76,127.24,1
控制与传感线束 XV201,Cable_XV201,4.5,27.0,1186.7,31.0,31.0,2
控制与传感线束 TV301,Cable_TV301,5.5,33.0,1706.38,20.1,156.0,0
控制与传感线束 BR401,Cable_BR401,5.5,33.0,1688.68,25.1,26.25,0
控制与传感线束 PCV201,Cable_PCV201,5.5,33.0,1365.07,25.1,26.25,0
控制与传感线束 PCV205,Cable_PCV205,5.5,33.0,785.37,25.1,106.25,0
控制与传感线束 TV302,Cable_TV302,5.5,33.0,1341.89,20.1,25.0,0
控制与传感线束 BS401,Cable_BS401,5.5,33.0,1323.69,57.0,30.0,0
